method,method_family,preference_name,hyperparameter_id,hyperparameters_json,runtime_seconds,peak_memory_mb,solver_iterations,solver_success,num_objectives,coefficient_dimension,output_lambda_sum,output_lambda_min,output_lambda_max
M1,MGDA-inspired,detailed_answer,rho_0p1,"{""rho"": 0.1}",0.0220962000,0.0160684586,,True,5.0000000000,5.0000000000,1.0000000000,0.1183931199,0.2747605250
M1,MGDA-inspired,detailed_answer,rho_1,"{""rho"": 1.0}",0.0092851000,0.0158472061,,True,5.0000000000,5.0000000000,1.0000000000,0.1405665847,0.2596796385
M1,MGDA-inspired,detailed_answer,rho_10,"{""rho"": 10.0}",0.0067486999,0.0158472061,,True,5.0000000000,5.0000000000,1.0000000000,0.1487519762,0.2513670318
M2,MGDA-inspired,detailed_answer,rho_0p1,"{""rho"": 0.1}",0.0100517001,0.0164499283,,True,5.0000000000,5.0000000000,1.0000000000,0.1890361773,0.2115406674
M2,MGDA-inspired,detailed_answer,rho_1,"{""rho"": 1.0}",0.0077269999,0.0164728165,,True,5.0000000000,5.0000000000,1.0000000000,0.1565908063,0.2429310330
M2,MGDA-inspired,detailed_answer,rho_10,"{""rho"": 10.0}",0.0116907001,0.0164728165,,True,5.0000000000,5.0000000000,1.0000000000,0.1506669539,0.2492797235
C1,CAGrad-inspired,detailed_answer,c_0p25__eps_1em08,"{""c"": 0.25, ""eps"": 1e-08}",0.0190741001,0.0203933716,,True,5.0000000000,5.0000000000,1.0000000000,0.1012164927,0.2798393570
C1,CAGrad-inspired,detailed_answer,c_0p5__eps_1em08,"{""c"": 0.5, ""eps"": 1e-08}",0.0198318000,0.0201492310,,True,5.0000000000,5.0000000000,1.0000000000,0.1012164927,0.2798393570
C1,CAGrad-inspired,detailed_answer,c_1__eps_1em08,"{""c"": 1.0, ""eps"": 1e-08}",0.0217105000,0.0201492310,,True,5.0000000000,5.0000000000,1.0000000000,0.1012164927,0.2798393570
C2,CAGrad-inspired,detailed_answer,rho_0p1__tau_0p05,"{""rho"": 0.1, ""tau"": 0.05}",0.0375116999,0.0161828995,,True,5.0000000000,5.0000000000,1.0000000000,0.1380901885,0.2436300206
C2,CAGrad-inspired,detailed_answer,rho_1__tau_0p05,"{""rho"": 1.0, ""tau"": 0.05}",0.0179291000,0.0161828995,,True,5.0000000000,5.0000000000,1.0000000000,0.1509886273,0.2452529801
C2,CAGrad-inspired,detailed_answer,rho_0p1__tau_0p1,"{""rho"": 0.1, ""tau"": 0.1}",0.0353800000,0.0163049698,,True,5.0000000000,5.0000000000,1.0000000000,0.1314820697,0.2916983875
C2,CAGrad-inspired,detailed_answer,rho_1__tau_0p1,"{""rho"": 1.0, ""tau"": 0.1}",0.0172952999,0.0163049698,,True,5.0000000000,5.0000000000,1.0000000000,0.1540746405,0.2336093630
C2,CAGrad-inspired,detailed_answer,rho_0p1__tau_0p2,"{""rho"": 0.1, ""tau"": 0.2}",0.0271711000,0.0163049698,,True,5.0000000000,5.0000000000,1.0000000000,0.1375875774,0.3621633406
C2,CAGrad-inspired,detailed_answer,rho_1__tau_0p2,"{""rho"": 1.0, ""tau"": 0.2}",0.0171335000,0.0163049698,,True,5.0000000000,5.0000000000,1.0000000000,0.1572173499,0.2250932834
P1,PCGrad-inspired,detailed_answer,beta_0p5,"{""beta"": 0.5}",0.0001532000,0.0058593750,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1500000000,0.2500000000
P1,PCGrad-inspired,detailed_answer,beta_1,"{""beta"": 1.0}",0.0001343000,0.0058593750,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1500000000,0.2500000000
P1,PCGrad-inspired,detailed_answer,beta_2,"{""beta"": 2.0}",0.0001916001,0.0058593750,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1500000000,0.2500000000
P2,PCGrad-inspired,detailed_answer,eps_1em08__rho_0p1,"{""eps"": 1e-08, ""rho"": 0.1}",0.0024537999,0.0167322159,,True,5.0000000000,5.0000000000,1.0000000000,0.1500000000,0.2500000000
P2,PCGrad-inspired,detailed_answer,eps_1em08__rho_1,"{""eps"": 1e-08, ""rho"": 1.0}",0.0022457000,0.0163660049,,True,5.0000000000,5.0000000000,1.0000000000,0.1500000000,0.2500000000
P2,PCGrad-inspired,detailed_answer,eps_1em08__rho_10,"{""eps"": 1e-08, ""rho"": 10.0}",0.0024283000,0.0163660049,,True,5.0000000000,5.0000000000,1.0000000000,0.1500000000,0.2500000000
direct_preference,baseline,helpfulness_focused,default,{},0.0000344000,0.0008840561,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.5000000000
uniform,baseline,helpfulness_focused,default,{},0.0000063999,0.0002517700,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.2000000000,0.2000000000
M1,MGDA-inspired,helpfulness_focused,rho_0p1,"{""rho"": 0.1}",0.0224878000,0.0160684586,,True,5.0000000000,5.0000000000,1.0000000000,0.0869777682,0.2783758022
M1,MGDA-inspired,helpfulness_focused,rho_1,"{""rho"": 1.0}",0.0078541000,0.0158472061,,True,5.0000000000,5.0000000000,1.0000000000,0.1170532027,0.4349470537
M1,MGDA-inspired,helpfulness_focused,rho_10,"{""rho"": 10.0}",0.0054619000,0.0158472061,,True,5.0000000000,5.0000000000,1.0000000000,0.1079046957,0.4915782617
M2,MGDA-inspired,helpfulness_focused,rho_0p1,"{""rho"": 0.1}",0.0087873000,0.0164499283,,True,5.0000000000,5.0000000000,1.0000000000,0.0000000000,0.2718082695
M2,MGDA-inspired,helpfulness_focused,rho_1,"{""rho"": 1.0}",0.0079971000,0.0164728165,,True,5.0000000000,5.0000000000,1.0000000000,0.1198401493,0.4168844446
M2,MGDA-inspired,helpfulness_focused,rho_10,"{""rho"": 10.0}",0.0049466999,0.0164728165,,True,5.0000000000,5.0000000000,1.0000000000,0.1020320617,0.4914781834
C1,CAGrad-inspired,helpfulness_focused,c_0p25__eps_1em08,"{""c"": 0.25, ""eps"": 1e-08}",0.0183386001,0.0203933716,,True,5.0000000000,5.0000000000,1.0000000000,0.0641683866,0.2741062259
C1,CAGrad-inspired,helpfulness_focused,c_0p5__eps_1em08,"{""c"": 0.5, ""eps"": 1e-08}",0.0200229000,0.0199737549,,True,5.0000000000,5.0000000000,1.0000000000,0.1012164927,0.2798393570
C1,CAGrad-inspired,helpfulness_focused,c_1__eps_1em08,"{""c"": 1.0, ""eps"": 1e-08}",0.0188985000,0.0199737549,,True,5.0000000000,5.0000000000,1.0000000000,0.1012164927,0.2798393570
C2,CAGrad-inspired,helpfulness_focused,rho_0p1__tau_0p05,"{""rho"": 0.1, ""tau"": 0.05}",0.0240088000,0.0161828995,,True,5.0000000000,5.0000000000,1.0000000000,0.1203317261,0.2304599903
C2,CAGrad-inspired,helpfulness_focused,rho_1__tau_0p05,"{""rho"": 1.0, ""tau"": 0.05}",0.0178284000,0.0161828995,,True,5.0000000000,5.0000000000,1.0000000000,0.1149541973,0.4304303631
C2,CAGrad-inspired,helpfulness_focused,rho_0p1__tau_0p1,"{""rho"": 0.1, ""tau"": 0.1}",0.0253694000,0.0163049698,,True,5.0000000000,5.0000000000,1.0000000000,0.1117565322,0.2654710556
C2,CAGrad-inspired,helpfulness_focused,rho_1__tau_0p1,"{""rho"": 1.0, ""tau"": 0.1}",0.0209269000,0.0163049698,,True,5.0000000000,5.0000000000,1.0000000000,0.1289686322,0.4524046925
C2,CAGrad-inspired,helpfulness_focused,rho_0p1__tau_0p2,"{""rho"": 0.1, ""tau"": 0.2}",0.0415375000,0.0163049698,,True,5.0000000000,5.0000000000,1.0000000000,0.1136926570,0.3233932587
C2,CAGrad-inspired,helpfulness_focused,rho_1__tau_0p2,"{""rho"": 1.0, ""tau"": 0.2}",0.0191421000,0.0163049698,,True,5.0000000000,5.0000000000,1.0000000000,0.1034090797,0.4744151763
P1,PCGrad-inspired,helpfulness_focused,beta_0p5,"{""beta"": 0.5}",0.0001379000,0.0058593750,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.5000000000
P1,PCGrad-inspired,helpfulness_focused,beta_1,"{""beta"": 1.0}",0.0001159000,0.0058593750,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.5000000000
P1,PCGrad-inspired,helpfulness_focused,beta_2,"{""beta"": 2.0}",0.0001138001,0.0058593750,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.5000000000
P2,PCGrad-inspired,helpfulness_focused,eps_1em08__rho_0p1,"{""eps"": 1e-08, ""rho"": 0.1}",0.0029377000,0.0167322159,,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.5000000000
P2,PCGrad-inspired,helpfulness_focused,eps_1em08__rho_1,"{""eps"": 1e-08, ""rho"": 1.0}",0.0023153999,0.0163660049,,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.5000000000
P2,PCGrad-inspired,helpfulness_focused,eps_1em08__rho_10,"{""eps"": 1e-08, ""rho"": 10.0}",0.0022115000,0.0163660049,,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.5000000000
