method,method_family,preference_name,hyperparameter_id,hyperparameters_json,runtime_seconds,peak_memory_mb,solver_iterations,solver_success,num_objectives,coefficient_dimension,output_lambda_sum,output_lambda_min,output_lambda_max
C1,CAGrad-inspired,quality_focused,c_0p5__eps_1em08,"{""c"": 0.5, ""eps"": 1e-08}",0.0393970930,0.0205059052,,True,5.0000000000,5.0000000000,1.0000000000,0.1012164927,0.2798393570
C1,CAGrad-inspired,quality_focused,c_1__eps_1em08,"{""c"": 1.0, ""eps"": 1e-08}",0.0401714270,0.0206813812,,True,5.0000000000,5.0000000000,1.0000000000,0.1012164927,0.2798393570
C2,CAGrad-inspired,quality_focused,rho_0p1__tau_0p05,"{""rho"": 0.1, ""tau"": 0.05}",0.0515423930,0.0167245865,,True,5.0000000000,5.0000000000,1.0000000000,0.1095227863,0.2982051697
C2,CAGrad-inspired,quality_focused,rho_1__tau_0p05,"{""rho"": 1.0, ""tau"": 0.05}",0.0389694200,0.0165338516,,True,5.0000000000,5.0000000000,1.0000000000,0.1152482645,0.3249734564
C2,CAGrad-inspired,quality_focused,rho_0p1__tau_0p1,"{""rho"": 0.1, ""tau"": 0.1}",0.0577548500,0.0168848038,,True,5.0000000000,5.0000000000,1.0000000000,0.0971012943,0.3816548921
C2,CAGrad-inspired,quality_focused,rho_1__tau_0p1,"{""rho"": 1.0, ""tau"": 0.1}",0.0357542290,0.0163583755,,True,5.0000000000,5.0000000000,1.0000000000,0.1310443179,0.3464096674
C2,CAGrad-inspired,quality_focused,rho_0p1__tau_0p2,"{""rho"": 0.1, ""tau"": 0.2}",0.0595847820,0.0166749954,,True,5.0000000000,5.0000000000,1.0000000000,0.1022169346,0.4743869241
C2,CAGrad-inspired,quality_focused,rho_1__tau_0p2,"{""rho"": 1.0, ""tau"": 0.2}",0.0316768260,0.0165872574,,True,5.0000000000,5.0000000000,1.0000000000,0.1038344169,0.3663486540
P1,PCGrad-inspired,quality_focused,beta_0p5,"{""beta"": 0.5}",0.0003369920,0.0058135986,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.3500000000
P1,PCGrad-inspired,quality_focused,beta_1,"{""beta"": 1.0}",0.0002567370,0.0058593750,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.3500000000
P1,PCGrad-inspired,quality_focused,beta_2,"{""beta"": 2.0}",0.0002359270,0.0058593750,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.3500000000
P2,PCGrad-inspired,quality_focused,eps_1em08__rho_0p1,"{""eps"": 1e-08, ""rho"": 0.1}",0.0050228890,0.0165796280,,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.3500000000
P2,PCGrad-inspired,quality_focused,eps_1em08__rho_1,"{""eps"": 1e-08, ""rho"": 1.0}",0.0048770770,0.0162982941,,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.3500000000
P2,PCGrad-inspired,quality_focused,eps_1em08__rho_10,"{""eps"": 1e-08, ""rho"": 10.0}",0.0051844350,0.0163450241,,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.3500000000
direct_preference,baseline,detailed_answer,default,{},0.0000815570,0.0008840561,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1500000000,0.2500000000
uniform,baseline,detailed_answer,default,{},0.0000164050,0.0002975464,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.2000000000,0.2000000000
M1,MGDA-inspired,detailed_answer,rho_0p1,"{""rho"": 0.1}",0.0281981250,0.0163469315,,True,5.0000000000,5.0000000000,1.0000000000,0.1183931135,0.2747605241
M1,MGDA-inspired,detailed_answer,rho_1,"{""rho"": 1.0}",0.0147842620,0.0159444809,,True,5.0000000000,5.0000000000,1.0000000000,0.1405665847,0.2596796388
M1,MGDA-inspired,detailed_answer,rho_10,"{""rho"": 10.0}",0.0134087040,0.0160150528,,True,5.0000000000,5.0000000000,1.0000000000,0.1487519763,0.2513670319
M2,MGDA-inspired,detailed_answer,rho_0p1,"{""rho"": 0.1}",0.0211021960,0.0165681839,,True,5.0000000000,5.0000000000,1.0000000000,0.1890361760,0.2115406711
M2,MGDA-inspired,detailed_answer,rho_1,"{""rho"": 1.0}",0.0110234140,0.0167074203,,True,5.0000000000,5.0000000000,1.0000000000,0.1565908065,0.2429310330
M2,MGDA-inspired,detailed_answer,rho_10,"{""rho"": 10.0}",0.0118331310,0.0166406631,,True,5.0000000000,5.0000000000,1.0000000000,0.1506669539,0.2492797235
C1,CAGrad-inspired,detailed_answer,c_0p25__eps_1em08,"{""c"": 0.25, ""eps"": 1e-08}",0.0261563900,0.0203723907,,True,5.0000000000,5.0000000000,1.0000000000,0.1012164927,0.2798393570
C1,CAGrad-inspired,detailed_answer,c_0p5__eps_1em08,"{""c"": 0.5, ""eps"": 1e-08}",0.0254859630,0.0197982788,,True,5.0000000000,5.0000000000,1.0000000000,0.1012164927,0.2798393570
C1,CAGrad-inspired,detailed_answer,c_1__eps_1em08,"{""c"": 1.0, ""eps"": 1e-08}",0.0256581900,0.0197982788,,True,5.0000000000,5.0000000000,1.0000000000,0.1012164927,0.2798393570
C2,CAGrad-inspired,detailed_answer,rho_0p1__tau_0p05,"{""rho"": 0.1, ""tau"": 0.05}",0.0384668750,0.0163736343,,True,5.0000000000,5.0000000000,1.0000000000,0.1380902486,0.2436300362
C2,CAGrad-inspired,detailed_answer,rho_1__tau_0p05,"{""rho"": 1.0, ""tau"": 0.05}",0.0237711710,0.0164899826,,True,5.0000000000,5.0000000000,1.0000000000,0.1509886124,0.2452529807
C2,CAGrad-inspired,detailed_answer,rho_0p1__tau_0p1,"{""rho"": 0.1, ""tau"": 0.1}",0.0478405190,0.0164461136,,True,5.0000000000,5.0000000000,1.0000000000,0.1314820607,0.2916984022
C2,CAGrad-inspired,detailed_answer,rho_1__tau_0p1,"{""rho"": 1.0, ""tau"": 0.1}",0.0325994360,0.0164461136,,True,5.0000000000,5.0000000000,1.0000000000,0.1540746292,0.2336093642
C2,CAGrad-inspired,detailed_answer,rho_0p1__tau_0p2,"{""rho"": 0.1, ""tau"": 0.2}",0.0527768710,0.0164556503,,True,5.0000000000,5.0000000000,1.0000000000,0.1375875814,0.3621633189
C2,CAGrad-inspired,detailed_answer,rho_1__tau_0p2,"{""rho"": 1.0, ""tau"": 0.2}",0.0361687580,0.0164995193,,True,5.0000000000,5.0000000000,1.0000000000,0.1572173547,0.2250932758
P1,PCGrad-inspired,detailed_answer,beta_0p5,"{""beta"": 0.5}",0.0004312240,0.0058135986,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1500000000,0.2500000000
P1,PCGrad-inspired,detailed_answer,beta_1,"{""beta"": 1.0}",0.0002397340,0.0058593750,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1500000000,0.2500000000
P1,PCGrad-inspired,detailed_answer,beta_2,"{""beta"": 2.0}",0.0002474230,0.0058593750,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1500000000,0.2500000000
P2,PCGrad-inspired,detailed_answer,eps_1em08__rho_0p1,"{""eps"": 1e-08, ""rho"": 0.1}",0.0049889890,0.0166730881,,True,5.0000000000,5.0000000000,1.0000000000,0.1500000000,0.2500000000
P2,PCGrad-inspired,detailed_answer,eps_1em08__rho_1,"{""eps"": 1e-08, ""rho"": 1.0}",0.0050517700,0.0163421631,,True,5.0000000000,5.0000000000,1.0000000000,0.1500000000,0.2500000000
P2,PCGrad-inspired,detailed_answer,eps_1em08__rho_10,"{""eps"": 1e-08, ""rho"": 10.0}",0.0048754860,0.0161085129,,True,5.0000000000,5.0000000000,1.0000000000,0.1500000000,0.2500000000
direct_preference,baseline,helpfulness_focused,default,{},0.0000794570,0.0008840561,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.5000000000
uniform,baseline,helpfulness_focused,default,{},0.0000161920,0.0002975464,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.2000000000,0.2000000000
M1,MGDA-inspired,helpfulness_focused,rho_0p1,"{""rho"": 0.1}",0.0287780420,0.0159101486,,True,5.0000000000,5.0000000000,1.0000000000,0.0869777732,0.2783757908
M1,MGDA-inspired,helpfulness_focused,rho_1,"{""rho"": 1.0}",0.0171100700,0.0158891678,,True,5.0000000000,5.0000000000,1.0000000000,0.1170532020,0.4349470514
M1,MGDA-inspired,helpfulness_focused,rho_10,"{""rho"": 10.0}",0.0131244060,0.0157785416,,True,5.0000000000,5.0000000000,1.0000000000,0.1079046954,0.4915782617
M2,MGDA-inspired,helpfulness_focused,rho_0p1,"{""rho"": 0.1}",0.0208119630,0.0164632797,,True,5.0000000000,5.0000000000,1.0000000000,0.0000000000,0.2718082719
M2,MGDA-inspired,helpfulness_focused,rho_1,"{""rho"": 1.0}",0.0109777070,0.0163774490,,True,5.0000000000,5.0000000000,1.0000000000,0.1198401492,0.4168844447
M2,MGDA-inspired,helpfulness_focused,rho_10,"{""rho"": 10.0}",0.0117538430,0.0164012909,,True,5.0000000000,5.0000000000,1.0000000000,0.1020320617,0.4914781834
C1,CAGrad-inspired,helpfulness_focused,c_0p25__eps_1em08,"{""c"": 0.25, ""eps"": 1e-08}",0.0391316170,0.0198478699,,True,5.0000000000,5.0000000000,1.0000000000,0.0641683866,0.2741062259
C1,CAGrad-inspired,helpfulness_focused,c_0p5__eps_1em08,"{""c"": 0.5, ""eps"": 1e-08}",0.0345831560,0.0196762085,,True,5.0000000000,5.0000000000,1.0000000000,0.1012164927,0.2798393570
C1,CAGrad-inspired,helpfulness_focused,c_1__eps_1em08,"{""c"": 1.0, ""eps"": 1e-08}",0.0348113720,0.0195617676,,True,5.0000000000,5.0000000000,1.0000000000,0.1012164927,0.2798393570
C2,CAGrad-inspired,helpfulness_focused,rho_0p1__tau_0p05,"{""rho"": 0.1, ""tau"": 0.05}",0.0550628580,0.0162391663,,True,5.0000000000,5.0000000000,1.0000000000,0.1203316996,0.2304599869
C2,CAGrad-inspired,helpfulness_focused,rho_1__tau_0p05,"{""rho"": 1.0, ""tau"": 0.05}",0.0394353690,0.0162162781,,True,5.0000000000,5.0000000000,1.0000000000,0.1149542170,0.4304303636
C2,CAGrad-inspired,helpfulness_focused,rho_0p1__tau_0p1,"{""rho"": 0.1, ""tau"": 0.1}",0.0444149240,0.0161724091,,True,5.0000000000,5.0000000000,1.0000000000,0.1117564861,0.2654710890
C2,CAGrad-inspired,helpfulness_focused,rho_1__tau_0p1,"{""rho"": 1.0, ""tau"": 0.1}",0.0325164780,0.0161695480,,True,5.0000000000,5.0000000000,1.0000000000,0.1289686347,0.4524046549
C2,CAGrad-inspired,helpfulness_focused,rho_0p1__tau_0p2,"{""rho"": 0.1, ""tau"": 0.2}",0.0631763430,0.0161695480,,True,5.0000000000,5.0000000000,1.0000000000,0.1136926560,0.3233932916
C2,CAGrad-inspired,helpfulness_focused,rho_1__tau_0p2,"{""rho"": 1.0, ""tau"": 0.2}",0.0330222100,0.0162305832,,True,5.0000000000,5.0000000000,1.0000000000,0.1034090735,0.4744151476
P1,PCGrad-inspired,helpfulness_focused,beta_0p5,"{""beta"": 0.5}",0.0003149910,0.0058135986,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.5000000000
P1,PCGrad-inspired,helpfulness_focused,beta_1,"{""beta"": 1.0}",0.0002466990,0.0058593750,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.5000000000
P1,PCGrad-inspired,helpfulness_focused,beta_2,"{""beta"": 2.0}",0.0002373410,0.0058593750,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.5000000000
P2,PCGrad-inspired,helpfulness_focused,eps_1em08__rho_0p1,"{""eps"": 1e-08, ""rho"": 0.1}",0.0049332330,0.0165700912,,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.5000000000
P2,PCGrad-inspired,helpfulness_focused,eps_1em08__rho_1,"{""eps"": 1e-08, ""rho"": 1.0}",0.0052856600,0.0162420273,,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.5000000000
P2,PCGrad-inspired,helpfulness_focused,eps_1em08__rho_10,"{""eps"": 1e-08, ""rho"": 10.0}",0.0049496900,0.0161542892,,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.5000000000
